text,label
You won GHS 53243 prize! Click here to claim: https://mtn-claim.xyz/ref=3f1fe1 Confirm PIN now!,1
Your transfer of GHS 3675 to 01914960092 was successful. Ref: TXN942792.,0
You have received GHS 423 from 0289018704. Ref: d9e09b4e. Balance: GHS 4290.,0
You have received GHS 20 from +44(0)1414960789. Ref: e3fef348. Balance: GHS 2287.,0
Send back GHS 338 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
"MTN MoMo Alert: Cash out of GHS 349 successful at Taylor, Rose and Ward. New balance: GHS 2282.",0
MTN MoMo Alert: Cash out of GHS 175 successful at Jones Ltd. New balance: GHS 1120.,0
You won GHS 33143 prize! Click here to claim: https://mtn-claim.xyz/ref=7c8cf6 Confirm PIN now!,1
Your transfer of GHS 2516 to (0131)4960858 was successful. Ref: TXN311573.,0
You won GHS 74800 prize! Click here to claim: https://mtn-claim.xyz/ref=106ae0 Confirm PIN now!,1
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0241402651!,1
Your transfer of GHS 2596 to 01614960442 was successful. Ref: TXN127477.,0
MTN MoMo Alert: Cash out of GHS 1772 successful at Chamberlain-Murray. New balance: GHS 4648.,0
You have received GHS 389 from 0121 4960476. Ref: 6264bea5. Balance: GHS 2176.,0
Your transfer of GHS 1174 to +44(0)1414960493 was successful. Ref: TXN264328.,0
MTN MoMo Alert: Cash out of GHS 1521 successful at Smith-Walker. New balance: GHS 5073.,0
You won GHS 11174 prize! Click here to claim: https://mtn-claim.xyz/ref=860be5 Confirm PIN now!,1
Your transfer of GHS 3832 to 0114 496 0096 was successful. Ref: TXN668329.,0
Your transfer of GHS 2234 to (0113)4960469 was successful. Ref: TXN854747.,0
URGENT! Wrong transfer of GHS 2220 to your number. Call 0557993245 immediately to return money!,1
Your transfer of GHS 2869 to +441144960858 was successful. Ref: TXN784188.,0
Your transfer of GHS 3143 to 029 2018344 was successful. Ref: TXN690438.,0
"MTN MoMo Alert: Cash out of GHS 1512 successful at Douglas, Matthews and Ward. New balance: GHS 7257.",0
Send back GHS 697 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
Your transfer of GHS 4153 to 08081570269 was successful. Ref: TXN168446.,0
You won GHS 92326 prize! Click here to claim: https://mtn-claim.xyz/ref=5f3939 Confirm PIN now!,1
You have received GHS 931 from (0121) 496 0216. Ref: 3e2f0228. Balance: GHS 1390.,0
You have received GHS 253 from 0121 496 0902. Ref: 646a520c. Balance: GHS 1730.,0
Your transfer of GHS 4993 to +44(0)131 496 0459 was successful. Ref: TXN756415.,0
URGENT! Wrong transfer of GHS 4790 to your number. Call 0559946050 immediately to return money!,1
MTN MoMo Alert: Cash out of GHS 320 successful at Jenkins Inc. New balance: GHS 950.,0
You have received GHS 521 from 01164960946. Ref: f754f494. Balance: GHS 2607.,0
MTN MoMo Alert: Cash out of GHS 1457 successful at Cooper and Sons. New balance: GHS 2755.,0
URGENT! Wrong transfer of GHS 2184 to your number. Call 0559897059 immediately to return money!,1
Your transfer of GHS 4137 to +44(0)29 2018230 was successful. Ref: TXN339388.,0
You won GHS 33276 prize! Click here to claim: https://mtn-claim.xyz/ref=039a85 Confirm PIN now!,1
MTN MoMo Alert: Cash out of GHS 936 successful at Warren-Jones. New balance: GHS 2441.,0
You have received GHS 46 from (0118) 4960334. Ref: c4f61197. Balance: GHS 4252.,0
URGENT! Wrong transfer of GHS 534 to your number. Call 0554075747 immediately to return money!,1
Your transfer of GHS 1320 to +44(0)161 496 0744 was successful. Ref: TXN841178.,0
You have received GHS 290 from +44161 4960918. Ref: 93329c7d. Balance: GHS 693.,0
You have received GHS 430 from +44(0)117 4960639. Ref: 557e97a3. Balance: GHS 3490.,0
You have received GHS 344 from +4429 2018677. Ref: 6b362831. Balance: GHS 1308.,0
You have received GHS 799 from (029) 2018 0789. Ref: 3d9ddbff. Balance: GHS 1125.,0
You won GHS 57825 prize! Click here to claim: https://mtn-claim.xyz/ref=becf0d Confirm PIN now!,1
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0249925308!,1
You have received GHS 896 from (028) 9018 0188. Ref: 3bbed8c0. Balance: GHS 709.,0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0241536806!,1
MTN MoMo Alert: Cash out of GHS 293 successful at Allen-Reynolds. New balance: GHS 9326.,0
Send back GHS 2395 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
Your transfer of GHS 2302 to (0131) 4960903 was successful. Ref: TXN289334.,0
"MTN MoMo Alert: Cash out of GHS 942 successful at Jenkins, Chambers and Fry. New balance: GHS 7769.",0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0247211015!,1
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0247348967!,1
MTN MoMo Alert: Cash out of GHS 273 successful at Hill Ltd. New balance: GHS 4058.,0
MTN MoMo Alert: Cash out of GHS 1924 successful at Edwards-Watson. New balance: GHS 6264.,0
MTN MoMo Alert: Cash out of GHS 114 successful at Lee-Lambert. New balance: GHS 7853.,0
MTN MoMo Alert: Cash out of GHS 1445 successful at Brown PLC. New balance: GHS 9310.,0
Send back GHS 1844 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
URGENT! Wrong transfer of GHS 3325 to your number. Call 0558343178 immediately to return money!,1
Send back GHS 2953 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
You have received GHS 228 from (0191) 4960293. Ref: 757f0209. Balance: GHS 2827.,0
"MTN MoMo Alert: Cash out of GHS 708 successful at Sharp, Smith and Ellis. New balance: GHS 1067.",0
Your transfer of GHS 1363 to +44(0)141 496 0165 was successful. Ref: TXN789622.,0
URGENT! Wrong transfer of GHS 2168 to your number. Call 0557954229 immediately to return money!,1
MTN MoMo Alert: Cash out of GHS 752 successful at Ali Inc. New balance: GHS 5971.,0
Your transfer of GHS 3507 to +44(0)151 4960041 was successful. Ref: TXN966615.,0
You have received GHS 385 from +44(0)1184960876. Ref: b005aa66. Balance: GHS 1063.,0
Your transfer of GHS 4823 to 029 2018 0647 was successful. Ref: TXN725996.,0
MTN MoMo Alert: Cash out of GHS 1133 successful at Pratt Inc. New balance: GHS 8729.,0
Your transfer of GHS 3294 to (029) 2018928 was successful. Ref: TXN442495.,0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0247646533!,1
"MTN MoMo Alert: Cash out of GHS 474 successful at Smith, Davison and Duffy. New balance: GHS 2949.",0
URGENT! Wrong transfer of GHS 1499 to your number. Call 0559847278 immediately to return money!,1
MTN MoMo Alert: Cash out of GHS 1742 successful at Dixon-White. New balance: GHS 3899.,0
Your transfer of GHS 1951 to +44(0)117 4960103 was successful. Ref: TXN510418.,0
MTN MoMo Alert: Cash out of GHS 1566 successful at Griffiths-Jones. New balance: GHS 995.,0
MTN MoMo Alert: Cash out of GHS 412 successful at Smith-Sutton. New balance: GHS 2394.,0
Your transfer of GHS 1922 to +441314960703 was successful. Ref: TXN680561.,0
"MTN MoMo Alert: Cash out of GHS 468 successful at Hill, Wilson and Gibson. New balance: GHS 9366.",0
"MTN MoMo Alert: Cash out of GHS 312 successful at Lawson, Wright and Reeves. New balance: GHS 1197.",0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0241124879!,1
Your transfer of GHS 1022 to +44118 4960837 was successful. Ref: TXN250939.,0
"MTN MoMo Alert: Cash out of GHS 1791 successful at Spencer, Stevens and Pritchard. New balance: GHS 181.",0
You have received GHS 94 from 01614960945. Ref: 60446707. Balance: GHS 4673.,0
Your transfer of GHS 2104 to +44161 496 0311 was successful. Ref: TXN954096.,0
Send back GHS 419 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
You have received GHS 42 from +44(0)141 496 0546. Ref: 66cf9428. Balance: GHS 3502.,0
Your transfer of GHS 4259 to 0131 4960097 was successful. Ref: TXN497262.,0
Your transfer of GHS 587 to 0191 498 0754 was successful. Ref: TXN516693.,0
Your transfer of GHS 4665 to (028) 9018 0021 was successful. Ref: TXN892169.,0
You have received GHS 251 from (028)9018684. Ref: 10dfc97a. Balance: GHS 1021.,0
MTN MoMo Alert: Cash out of GHS 1218 successful at Blake PLC. New balance: GHS 6183.,0
Your transfer of GHS 373 to +44118 4960930 was successful. Ref: TXN582232.,0
Your transfer of GHS 407 to +441144960632 was successful. Ref: TXN237393.,0
You have received GHS 571 from +44191 4960498. Ref: bf498ead. Balance: GHS 1630.,0
Your transfer of GHS 4120 to +44(0)20 7496 0144 was successful. Ref: TXN228285.,0
URGENT! Wrong transfer of GHS 3283 to your number. Call 0559333894 immediately to return money!,1
You have received GHS 678 from 028 9018 0517. Ref: 3a2bf9f7. Balance: GHS 4499.,0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0246448392!,1
URGENT! Wrong transfer of GHS 4256 to your number. Call 0552047049 immediately to return money!,1
"MTN MoMo Alert: Cash out of GHS 684 successful at Smith, Robinson and Duffy. New balance: GHS 4067.",0
URGENT! Wrong transfer of GHS 4690 to your number. Call 0557968270 immediately to return money!,1
Your transfer of GHS 806 to (028) 9018823 was successful. Ref: TXN403054.,0
You have received GHS 508 from (0121) 4960144. Ref: ffa7d906. Balance: GHS 1724.,0
Your transfer of GHS 2920 to 0289018691 was successful. Ref: TXN285581.,0
Your transfer of GHS 1976 to +443069990535 was successful. Ref: TXN689654.,0
Send back GHS 771 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0249509326!,1
You have received GHS 823 from +44(0)114 496 0218. Ref: d22f6b34. Balance: GHS 3722.,0
Your transfer of GHS 1680 to +44(0)115 496 0457 was successful. Ref: TXN132102.,0
You won GHS 77957 prize! Click here to claim: https://mtn-claim.xyz/ref=c0de6d Confirm PIN now!,1
Your transfer of GHS 206 to (0113) 4960722 was successful. Ref: TXN515979.,0
MTN MoMo Alert: Cash out of GHS 390 successful at Thompson-Allen. New balance: GHS 1431.,0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0244622406!,1
Your transfer of GHS 3457 to +44131 4960910 was successful. Ref: TXN298536.,0
Your transfer of GHS 1406 to (01632) 960014 was successful. Ref: TXN587023.,0
MTN MoMo Alert: Cash out of GHS 1834 successful at Williams Group. New balance: GHS 3117.,0
Your transfer of GHS 3472 to 02074960372 was successful. Ref: TXN751947.,0
You have received GHS 107 from (0306)9990699. Ref: e1f93fdb. Balance: GHS 3346.,0
You have received GHS 970 from +44116 4960027. Ref: 675ee25a. Balance: GHS 3220.,0
Your transfer of GHS 2021 to 0151 496 0054 was successful. Ref: TXN913373.,0
Your transfer of GHS 3228 to +44118 496 0333 was successful. Ref: TXN868609.,0
You have received GHS 306 from (0161) 4960166. Ref: a3e82f4b. Balance: GHS 4282.,0
URGENT! Wrong transfer of GHS 4913 to your number. Call 0553132431 immediately to return money!,1
URGENT! Wrong transfer of GHS 1143 to your number. Call 0551385268 immediately to return money!,1
MTN MoMo Alert: Cash out of GHS 436 successful at Johnson and Sons. New balance: GHS 2306.,0
You have received GHS 507 from (0131) 496 0680. Ref: 2bb73126. Balance: GHS 2545.,0
Send back GHS 2370 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
Your transfer of GHS 2658 to +44292018872 was successful. Ref: TXN979168.,0
Your transfer of GHS 791 to (0909) 8790523 was successful. Ref: TXN674308.,0
You have received GHS 405 from +44(0)29 2018277. Ref: 6bfbed17. Balance: GHS 4863.,0
Your transfer of GHS 4411 to +44(0)808 1570580 was successful. Ref: TXN531649.,0
Your transfer of GHS 972 to 01164960894 was successful. Ref: TXN754019.,0
You have received GHS 785 from (0151) 4960403. Ref: 000a2a39. Balance: GHS 2416.,0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0243115659!,1
Your transfer of GHS 953 to +44113 4960945 was successful. Ref: TXN742794.,0
"MTN MoMo Alert: Cash out of GHS 371 successful at Forster, Cooper and Birch. New balance: GHS 4918.",0
Send back GHS 1252 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
MTN MoMo Alert: Cash out of GHS 719 successful at Wheeler Ltd. New balance: GHS 2397.,0
You have received GHS 262 from 01164960716. Ref: fe01fe36. Balance: GHS 1317.,0
Your transfer of GHS 3897 to +441632 960374 was successful. Ref: TXN179005.,0
You won GHS 46537 prize! Click here to claim: https://mtn-claim.xyz/ref=0474c3 Confirm PIN now!,1
MTN MoMo Alert: Cash out of GHS 1505 successful at Barber-Willis. New balance: GHS 7035.,0
Your transfer of GHS 4591 to +441164960520 was successful. Ref: TXN137918.,0
You have received GHS 440 from (0113)4960728. Ref: 8f93093b. Balance: GHS 3255.,0
Your transfer of GHS 2687 to 0306 9990539 was successful. Ref: TXN250268.,0
MTN MoMo Alert: Cash out of GHS 384 successful at Vincent Group. New balance: GHS 6454.,0
You have received GHS 598 from 0191 498 0957. Ref: f6fff7b9. Balance: GHS 2986.,0
Your transfer of GHS 3899 to 01144960835 was successful. Ref: TXN711981.,0
Send back GHS 1094 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0248207385!,1
You won GHS 63648 prize! Click here to claim: https://mtn-claim.xyz/ref=285b36 Confirm PIN now!,1
Your transfer of GHS 489 to +44306 999 0962 was successful. Ref: TXN659858.,0
Send back GHS 1936 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
